task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.7609231526005616,0.39971650023036776,0.4498577115059275,0.6914948590781127,0.9855751575839463,0.6508076962179407
0,INQUIRE,1,0,0.5283650469089497,0.6091023780041616,0.8317996927459957,0.823804982896163,0.963864769688516,0.992210255219434
0,INQUIRE,2,0,0.7831804988115667,0.667511585571789,0.9989513582368248,0.9631722797329805,0.981173001547346,0.9624346544168374
0,INQUIRE,3,0,0.1606464955567198,0.5516952166598955,0.9661114427280795,0.7899475997816762,0.8399606204379491,0.9754835287699856
0,INQUIRE,4,0,0.35639107017446847,0.6603385278062474,0.9136286191753734,0.9587617978519564,0.745129279393046,0.9731687560448243
0,INQUIRE,5,0,0.6576389923126404,0.8139161769839163,0.9167679630191009,0.5829333227715479,0.9483608705515787,0.9910971042049871
0,INQUIRE,6,0,0.4572841459696749,0.7879756116095,0.9284216710758839,0.9946955827038458,1.002254061105787,1.005698513927229
0,INQUIRE,7,0,0.5172418897435702,0.7260709260406019,0.9373203001356991,0.9094865378704389,0.8447817376524135,0.5757635104681629
0,INQUIRE,8,0,0.42323190832561725,0.878601921880773,0.6473061712171798,0.9959944418505581,0.7478341797207184,0.9619129214672951
0,INQUIRE,9,0,0.8831681948767842,0.9390411683093808,0.4043333676231118,0.4764270342915184,0.39401346388355485,0.42343234536789776
