task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.5641977622751866,0.19127069160042415,0.21168452749702502,0.210327525375107,0.20385217228941893,0.19478723222372238
0,INQUIRE,1,0,0.7764968913644772,0.1666380895857309,0.26264961921654767,0.261632661084885,0.30519758392625657,0.30716376707367515
0,INQUIRE,2,0,0.3250371272105749,0.1950953744203835,0.2127265145396574,0.20944668941918107,0.23954351667962037,0.2547141892395809
0,INQUIRE,3,0,0.5571453176463673,0.1003468220356279,0.22624083415677151,0.2927586770145541,0.25284233130274364,0.24709529983504128
0,INQUIRE,4,0,0.6005601074188933,0.174408968252047,0.16266110432698466,0.19076603967775535,0.2102811140590333,0.23420906668784616
0,INQUIRE,5,0,0.6233836371685673,0.16089749234693676,0.2544861465306912,0.263431538172728,0.24465991956577143,0.24080506833989448
0,INQUIRE,6,0,0.7179686451289797,0.21534194388250052,0.17428128920754074,0.1687593103068858,0.21696358848075295,0.24754301189170452
0,INQUIRE,7,0,0.7867874987628729,0.3496526405848441,0.26984402757284587,0.2531818460035364,0.2366081191151964,0.25965100327808704
0,INQUIRE,8,0,0.5461440125986105,0.2707958691685009,0.19947737645927288,0.24027458250674497,0.26686450139779927,0.28467950287603283
0,INQUIRE,9,0,0.663992235366924,0.23178355963371897,0.1728609414222305,0.17114645053751998,0.22390667177461027,0.23022218296644964
